"09-2016","null"
"10-2016","233.26"
"12-2016","-1"
"01-2017","7057.51"
"02-2017","1.11"
"03-2017","0.54"
"04-2017","-0.07"
"05-2017","0.42"
"06-2017","-0.14"
"07-2017","0.16"
"08-2017","0.14"
"09-2017","0.08"
"10-2017","0.07"
"11-2017","0.53"
"12-2017","-0.26"
"01-2018","0.27"
"02-2018","-0.11"
"03-2018","0.17"
"04-2018","0"
"05-2018","-0.01"
"06-2018","-0.11"
"07-2018","0.04"
"08-2018","-0.04"
"09-2018","-1"
"10-2018","-0.87"
